date,product,region,quantity,revenue,profit
2025-02-24,Keyboard,East,9,16200,2916
2025-02-25,Laptop,West,6,390000,70200
2025-02-26,Phone,North,3,84000,15120
2025-02-27,Headphones,South,10,35000,6300
2025-02-28,Monitor,East,7,105000,18900
2025-03-01,Keyboard,West,4,7200,1296
2025-03-02,Laptop,North,1,65000,11700
2025-03-03,Phone,South,8,224000,40320
2025-03-04,Headphones,East,5,17500,3150
2025-03-05,Monitor,West,2,30000,5400
2025-03-06,Keyboard,North,9,16200,2916
2025-03-07,Laptop,South,6,390000,70200
2025-03-08,Phone,East,3,84000,15120
2025-03-09,Headphones,West,10,35000,6300
2025-03-10,Monitor,North,7,105000,18900
2025-03-11,Keyboard,South,4,7200,1296
2025-03-12,Laptop,East,1,65000,11700
2025-03-13,Phone,West,8,224000,40320
2025-03-14,Headphones,North,5,17500,3150
2025-03-15,Monitor,South,2,30000,5400
2025-03-16,Keyboard,East,9,16200,2916
2025-03-17,Laptop,West,6,390000,70200
2025-03-18,Phone,North,3,84000,15120
2025-03-19,Headphones,South,10,35000,6300
2025-03-20,Monitor,East,7,105000,18900
2025-03-21,Keyboard,West,4,7200,1296
2025-03-22,Laptop,North,1,65000,11700
2025-03-23,Phone,South,8,224000,40320
2025-03-24,Headphones,East,5,17500,3150
2025-03-25,Monitor,West,2,30000,5400
2025-03-26,Keyboard,North,9,16200,2916
2025-03-27,Laptop,South,6,390000,70200
2025-03-28,Phone,East,3,84000,15120
2025-03-29,Headphones,West,10,35000,6300
2025-03-30,Monitor,North,7,105000,18900
2025-03-31,Keyboard,South,4,7200,1296
2025-04-01,Laptop,East,1,65000,11700
2025-04-02,Phone,West,8,224000,40320
2025-04-03,Headphones,North,5,17500,3150
2025-04-04,Monitor,South,2,30000,5400
2025-04-05,Keyboard,East,9,16200,2916
2025-04-06,Laptop,West,6,390000,70200
2025-04-07,Phone,North,3,84000,15120
2025-04-08,Headphones,South,10,35000,6300
2025-04-09,Monitor,East,7,105000,18900
2025-04-10,Keyboard,West,4,7200,1296
2025-04-11,Laptop,North,1,65000,11700
2025-04-12,Phone,South,8,224000,40320
2025-04-13,Headphones,East,5,17500,3150
2025-04-14,Monitor,West,2,30000,5400
2025-04-15,Keyboard,North,9,16200,2916
2025-04-16,Laptop,South,6,390000,70200
2025-04-17,Phone,East,3,84000,15120
2025-04-18,Headphones,West,10,35000,6300
2025-04-19,Monitor,North,7,105000,18900
2025-04-20,Keyboard,South,4,7200,1296
2025-04-21,Laptop,East,1,65000,11700
2025-04-22,Phone,West,8,224000,40320
2025-04-23,Headphones,North,5,17500,3150
2025-04-24,Monitor,South,2,30000,5400
2025-04-25,Keyboard,East,9,16200,2916
2025-04-26,Laptop,West,6,390000,70200
2025-04-27,Phone,North,3,84000,15120
2025-04-28,Headphones,South,10,35000,6300
2025-04-29,Monitor,East,7,105000,18900
2025-04-30,Keyboard,West,4,7200,1296
2025-05-01,Laptop,North,1,65000,11700
2025-05-02,Phone,South,8,224000,40320
2025-05-03,Headphones,East,5,17500,3150
2025-05-04,Monitor,West,2,30000,5400
2025-05-05,Keyboard,North,9,16200,2916
2025-05-06,Laptop,South,6,390000,70200
2025-05-07,Phone,East,3,84000,15120
2025-05-08,Headphones,West,10,35000,6300
2025-05-09,Monitor,North,7,105000,18900
2025-05-10,Keyboard,South,4,7200,1296
2025-05-11,Laptop,East,1,65000,11700
2025-05-12,Phone,West,8,224000,40320
2025-05-13,Headphones,North,5,17500,3150
2025-05-14,Monitor,South,2,30000,5400
2025-05-15,Keyboard,East,9,16200,2916
2025-05-16,Laptop,West,6,390000,70200
2025-05-17,Phone,North,3,84000,15120
2025-05-18,Headphones,South,10,35000,6300
2025-05-19,Monitor,East,7,105000,18900
2025-05-20,Keyboard,West,4,7200,1296
2025-05-21,Laptop,North,1,65000,11700
2025-05-22,Phone,South,8,224000,40320
2025-05-23,Headphones,East,5,17500,3150
2025-05-24,Monitor,West,2,30000,5400
2025-05-25,Keyboard,North,9,16200,2916
2025-05-26,Laptop,South,6,390000,70200
2025-05-27,Phone,East,3,84000,15120
2025-05-28,Headphones,West,10,35000,6300
2025-05-29,Monitor,North,7,105000,18900
2025-05-30,Keyboard,South,4,7200,1296
2025-05-31,Laptop,East,1,65000,11700
2025-06-01,Phone,West,8,224000,40320
2025-06-02,Headphones,North,5,17500,3150
2025-06-03,Monitor,South,2,30000,5400
2025-06-04,Keyboard,East,9,16200,2916
2025-06-05,Laptop,West,6,390000,70200
2025-06-06,Phone,North,3,84000,15120
2025-06-07,Headphones,South,10,35000,6300
2025-06-08,Monitor,East,7,105000,18900
2025-06-09,Keyboard,West,4,7200,1296
2025-06-10,Laptop,North,1,65000,11700
2025-06-11,Phone,South,8,224000,40320
2025-06-12,Headphones,East,5,17500,3150
2025-06-13,Monitor,West,2,30000,5400
2025-06-14,Keyboard,North,9,16200,2916
2025-06-15,Laptop,South,6,390000,70200
2025-06-16,Phone,East,3,84000,15120
2025-06-17,Headphones,West,10,35000,6300
2025-06-18,Monitor,North,7,105000,18900
2025-06-19,Keyboard,South,4,7200,1296
2025-06-20,Laptop,East,1,65000,11700
2025-06-21,Phone,West,8,224000,40320
2025-06-22,Headphones,North,5,17500,3150
2025-06-23,Monitor,South,2,30000,5400
2025-06-24,Keyboard,East,9,16200,2916
2025-06-25,Laptop,West,6,390000,70200
2025-06-26,Phone,North,3,84000,15120
2025-06-27,Headphones,South,10,35000,6300
2025-06-28,Monitor,East,7,105000,18900
2025-06-29,Keyboard,West,4,7200,1296
2025-01-01,Laptop,North,1,65000,11700
2025-01-02,Phone,South,8,224000,40320
2025-01-03,Headphones,East,5,17500,3150
2025-01-04,Monitor,West,2,30000,5400
2025-01-05,Keyboard,North,9,16200,2916
2025-01-06,Laptop,South,6,390000,70200
2025-01-07,Phone,East,3,84000,15120
2025-01-08,Headphones,West,10,35000,6300
2025-01-09,Monitor,North,7,105000,18900
2025-01-10,Keyboard,South,4,7200,1296
2025-01-11,Laptop,East,1,65000,11700
2025-01-12,Phone,West,8,224000,40320
2025-01-13,Headphones,North,5,17500,3150
2025-01-14,Monitor,South,2,30000,5400
2025-01-15,Keyboard,East,9,16200,2916
2025-01-16,Laptop,West,6,390000,70200
2025-01-17,Phone,North,3,84000,15120
2025-01-18,Headphones,South,10,35000,6300
2025-01-19,Monitor,East,7,105000,18900
2025-01-20,Keyboard,West,4,7200,1296
2025-01-21,Laptop,North,1,65000,11700
